timestep	atom	Ei_x	Ei_y	Ei_z	E_out
0	N2	-0.03651509486130555	-0.042911237329912616	-0.004470257515661321	0.02976914713417942
0	N3	-0.0732276043236244	0.009040970838289034	-0.0034057918278014433	
0	N4	-0.03001010166251695	0.015886184227246903	0.03635777371409189	
1	N2	-0.0362675192478148	-0.03873343303503978	-0.005580638165403217	0.028223201443702866
1	N3	-0.07559862314994235	0.009587192999650057	-0.004330808858375703	
1	N4	-0.02873946166383192	0.017426958829569635	0.03893605136531839	
2	N2	-0.035112102813139597	-0.03175533323310669	-0.013206173508872281	0.021946545681317462
2	N3	-0.08063035922577652	0.012593607446992809	-0.007508069382020755	
2	N4	-0.0301547607869266	0.02152492041142715	0.039334342234082754	
3	N2	-0.031603707623060556	-0.030549385532120034	-0.0121493943855172	0.020672638199053312
3	N3	-0.07649275371734116	0.014569063350061681	-0.007251853722626472	
3	N4	-0.027697937221091012	0.022264703811832737	0.04014306964278565	
4	N2	-0.032368879968229805	-0.029109211465978377	-0.002624745949840496	0.028218685976050373
4	N3	-0.06651478415143895	0.018548741028509945	-0.0025673277400661784	
4	N4	-0.023223949189164813	0.026218773207384586	0.05148919071457671	
5	N2	-0.03146875621487437	-0.031254083056812515	0.008178642860445886	0.03383041118529185
5	N3	-0.06219784090053858	0.020923658070798195	-0.0013397874313379008	
5	N4	-0.025149294872062293	0.028735797685166924	0.05089172437523394	
6	N2	-0.027709896199234585	-0.03147044404746702	0.02191756645016588	0.037718671287430616
6	N3	-0.05661426932237716	0.018888215006136688	0.004282470295533534	
6	N4	-0.026281059582108152	0.030042401103366635	0.056376612357401726	
7	N2	-0.029222545288310947	-0.022187709286216935	0.02209248819183881	0.03723144908748721
7	N3	-0.05573390787076985	0.019439636309885055	0.0034956399270689863	
7	N4	-0.026663079329357513	0.03147617605080619	0.06029191497452677	
8	N2	-0.03268778879574673	-0.02443467380813653	0.01879378275039713	0.039928665251756056
8	N3	-0.05484610768928254	0.020192478533595855	0.0064083483444410195	
8	N4	-0.02673905916955279	0.0296382345393495	0.05923251410839628	
9	N2	-0.03235270873938712	-0.023905526970155203	0.021393872645732493	0.041028756214984065
9	N3	-0.053102193767086706	0.02331036658334449	0.00595732219669765	
9	N4	-0.022492426031527662	0.025449743105896316	0.06107844857776628	
10	N2	-0.03266157102982271	-0.021891868640085955	0.019018608898658966	0.039872605095307934
10	N3	-0.05106594755894886	0.020318700384056906	0.0008874355049715143	
10	N4	-0.018692264317093064	0.02486927763483882	0.06476564319245824	
11	N2	-0.028208557420345927	-0.02176278774205787	0.02909581380997456	0.040705552561069884
11	N3	-0.052931276908342866	0.017838999017071724	0.00573171757542235	
11	N4	-0.020334144101434054	0.022318016508448908	0.06350586756925343	
12	N2	-0.02716370181617884	-0.03055497533136039	0.03045768275639811	0.04269924557522861
12	N3	-0.05279339148181095	0.016013684430882746	0.007117783943320169	
12	N4	-0.022059954758247766	0.019249192627458445	0.05770905533308215	
13	N2	-0.027897185712581568	-0.03612140180900295	0.030955210072108254	0.045810436359807485
13	N3	-0.05687540433026741	0.010034043711906296	0.006794058213220307	
13	N4	-0.01982364590322392	0.02034477316664233	0.06121001052247827	
14	N2	-0.025526129268522924	-0.02762327486146203	0.03301057871726836	0.04242105905430369
14	N3	-0.06716808606585524	0.007992005166375958	0.011366502706682087	
14	N4	-0.025806658118919776	0.021274373672375665	0.060311909154879946	
15	N2	-0.020880083246189837	-0.017382857352069892	0.032358959774026023	0.03643433515863218
15	N3	-0.0730019247764743	0.007440276276051373	0.008722350896602686	
15	N4	-0.0301638361670745	0.02395614538761861	0.05735564116312278	
16	N2	-0.017544494732094098	-0.014377187098789615	0.033047113114483356	0.03433644177284871
16	N3	-0.07930201068204223	0.005759469385630741	0.0013129400425331184	
16	N4	-0.030753220976414197	0.0295048263176503	0.05893288984526789	
17	N2	-0.02048595718202546	-0.017627468117281584	0.034505959753291446	0.03774336215728479
17	N3	-0.07796000759007309	0.00792045337957919	0.0051020874957712955	
17	N4	-0.03332439417532736	0.03228258057482986	0.06129213564906878	
18	N2	-0.014184568230179396	-0.017060379205400284	0.037025814361767065	0.035171757580070545
18	N3	-0.07291775594557968	0.00895107888000363	0.005330978630391919	
18	N4	-0.027473618659537364	0.04114929710391488	0.06374730946625269	
19	N2	-0.005126938282722403	-0.002972019398736818	0.03920963883374519	0.028219513530953252
19	N3	-0.07070297838723276	0.013595441907676885	0.010593739406729913	
19	N4	-0.02140151355527165	0.044622379169500494	0.06812556331863788	
20	N2	-0.0033216762675698994	0.001456450535379404	0.03359963961281559	0.02315334120842891
20	N3	-0.06316235503520834	0.02275011986479859	0.016784405855469253	
20	N4	-0.01659636074682138	0.04773730573067579	0.059674474641320766	
21	N2	0.001955944520302718	-0.0043454140942890355	0.026778173155901714	0.013445483781376612
21	N3	-0.05396942396701671	0.027822816746496074	0.02138607083349856	
21	N4	-0.012842433138176457	0.04244268640040828	0.0545091451551502	
22	N2	-0.001229336697837043	-0.019700353336112367	0.023322631224910396	0.013418495414880407
22	N3	-0.053112425296067536	0.023079209831460945	0.01663827150545377	
22	N4	-0.009121956051431611	0.03276587359716493	0.05259455165862677	
23	N2	-0.0026642749086785117	-0.027642358604992007	0.029596645859759164	0.018202441706458284
23	N3	-0.052499830196364505	0.01854160525992093	0.013413438589812142	
23	N4	-0.012361452394878162	0.022283367405633817	0.05867603850349109	
24	N2	0.0064578141028005685	-0.015582548921853295	0.03455793321165066	0.014166478186192967
24	N3	-0.043910039131583936	0.017313363015873117	0.012963457769895739	
24	N4	-0.011653875463977207	0.017793341380014822	0.05894704825491649	
25	N2	0.01583332055910663	-0.005525881102379192	0.042781571228649985	0.014175875214168717
25	N3	-0.035005118566643796	0.016408745246039382	0.01138450096687422	
25	N4	-0.006771695208316086	0.013858693126418868	0.06264344264927418	
26	N2	0.008890018736646438	-0.011675744397491559	0.04196549689497271	0.01775182529598532
26	N3	-0.03269456204378316	0.005712716873597355	0.008656950198135413	
26	N4	-0.012306838463513142	0.003838904095337561	0.059715257625408705	
27	N2	0.006622897508049763	-0.017511291650529382	0.04258416875453961	0.022044270356237728
27	N3	-0.02960059188112873	0.003934672546717473	0.0059676733604113255	
27	N4	-0.015869809363453967	0.00563682680736899	0.0491244392420593	
28	N2	0.0037131990693906798	-0.028388396958504005	0.03656243901471147	0.019069023052387456
28	N3	-0.025694803705783305	-0.006336016219831988	0.006736919874909427	
28	N4	-0.015673581436340976	0.00329028678865658	0.0460108848691904	
29	N2	-0.0019211521539403125	-0.032358982931731436	0.03534059656012746	0.02255173946949022
29	N3	-0.03384255235359608	-0.011072491214411553	0.010437738220856821	
29	N4	-0.017035100431328856	0.007807699794757734	0.052278662209706686	
