phy	E	Dipole_x	Dipole_y	Dipole_z	Dipole_tot
-0.1	-607.131247885	-14.1027	5.7846	0.836	15.2658
-0.09	-607.131599144	-14.102	5.7862	0.8388	15.266
-0.08	-607.131913365	-14.1014	5.7878	0.8414	15.2662
-0.07	-607.132190555	-14.1009	5.7891	0.8439	15.2664
-0.06	-607.132430724	-14.1005	5.7902	0.8462	15.2665
-0.05	-607.132633888	-14.1002	5.7912	0.8484	15.2667
-0.04	-607.132800062	-14.0999	5.792	0.8505	15.2669
-0.03	-607.132929265	-14.0997	5.7926	0.8524	15.267
-0.02	-607.133021521	-14.0996	5.793	0.8542	15.2672
-0.01	-607.133076851	-14.0996	5.7933	0.8558	15.2673
0.0	-607.133095285	-14.0996	5.7934	0.8573	15.2675
0.1	-607.131257866	-14.1042	5.7843	0.8647	15.2687
0.09	-607.131606403	-14.1034	5.786	0.8646	15.2686
0.08	-607.131918443	-14.1027	5.7875	0.8643	15.2685
0.07	-607.132193937	-14.102	5.7888	0.8639	15.2684
0.06	-607.132432835	-14.1014	5.79	0.8634	15.2683
0.05	-607.132635091	-14.1009	5.791	0.8627	15.2682
0.04	-607.132800661	-14.1005	5.7918	0.8619	15.268
0.03	-607.132929502	-14.1002	5.7925	0.861	15.2679
0.02	-607.133021578	-14.0999	5.793	0.8599	15.2678
0.01	-607.13307685	-14.0997	5.7932	0.8587	15.2676
